question,options,answer
Who was the first President of the United States?,"George Washington,Thomas Jefferson,Abraham Lincoln,Franklin D. Roosevelt",George Washington
What year did the Titanic sink?,"1912,1905,1898,1923",1912
Which civilization is known for its pyramids?,"Egyptian,Mayan,Aztec,Roman",Egyptian
In what year did World War II end?,"1945,1946,1947,1948",1945
Who painted the Mona Lisa?,"Leonardo da Vinci,Michelangelo,Rembrandt,Van Gogh",Leonardo da Vinci
What was the main cause of the Cold War?,"Disagreements on communism,Alliances in WWII,Assassination of Franz Ferdinand,Economic collapse in Europe",Disagreements on communism
Which country gifted the Statue of Liberty to the US?,"France,Spain,United Kingdom,Germany",France
What ancient empire was ruled by Julius Caesar?,"Roman,Greek,Egyptian,Persian",Roman
Who was the British monarch during World War I?,"George V,Edward VII,Elizabeth II,Victoria",George V
Where was the signing of the Declaration of Independence?,"Philadelphia,New York,Boston,Washington D.C.",Philadelphia
What is the period of increased birth rates in America after World War II known as?,"The Baby Boom,The Great Expansion,The New Generation,The Big Bang",The Baby Boom
Who discovered penicillin?,"Alexander Fleming,Louis Pasteur,Marie Curie,Isaac Newton",Alexander Fleming
Which empire built the Taj Mahal?,"Mughal,Ottoman,Persian,Ming",Mughal
During which war was the Battle of Gettysburg fought?,"American Civil War,World War I,World War II,The Revolutionary War",American Civil War
What was the Iron Curtain?,"A metaphor for division between the Eastern and Western Blocs,A physical barrier across Europe,A Cold War weapon,A secret project during World War II",A metaphor for division between the Eastern and Western Blocs
Who wrote the national anthem of the United States of America?,"Francis Scott Key,George Washington,Thomas Jefferson,Abraham Lincoln",Francis Scott Key
Which of the following was a famous battle in the American Revolutionary War?,"Battle of Gettysburg,Battle of Saratoga,Battle of Waterloo,Battle of Midway",Battle of Saratoga
What year did the Berlin Wall fall?,"1989,1987,1991,1990",1989
Who was the first man to step on the moon?,"Neil Armstrong,Buzz Aldrin,Michael Collins,John Glenn",Neil Armstrong
What ancient civilization is known for the concept of zero?,"Mayans,Aztecs,Incas,Egyptians",Mayans
